comuna,ica,fecha,id
comuna 11,69,2024-06-23,45858
comuna 4,37,2024-06-23,36402
comuna 9,18,2024-07-31,5512
comuna 11,65,2024-06-23,35071
comuna 8,88,2024-06-23,9895
comuna 3,10,2024-01-30,35616
comuna 12,82,2024-06-25,39189
comuna 1,72,2024-06-25,28558
comuna 5,98,2024-06-23,19960
comuna 14,87,2024-06-25,40320
comuna 10,97,2024-01-30,11365
comuna 16,72,2024-06-25,32956
comuna 6,49,2024-07-31,22315
comuna 11,89,2024-01-30,33109
comuna 11,39,2024-01-30,49434
comuna 15,63,2024-06-23,47765
comuna 14,45,2024-06-23,28782
comuna 14,57,2024-06-23,5714
comuna 2,83,2024-07-31,29122
comuna 6,67,2024-01-30,46583
comuna 7,65,2024-01-30,1605
comuna 8,37,2024-01-30,38049
comuna 3,27,2024-06-23,12813
comuna 12,80,2024-07-31,20411
comuna 16,34,2024-07-31,13514
comuna 14,57,2024-07-31,10980
comuna 3,78,2024-01-30,47902
comuna 10,93,2024-01-30,8964
comuna 8,32,2024-06-23,47692
comuna 12,18,2024-06-25,14003
comuna 14,72,2024-01-30,6335
comuna 1,31,2024-01-30,30169
comuna 5,37,2024-06-23,2489
comuna 1,52,2024-06-23,27223
comuna 2,67,2024-06-25,38731
comuna 2,60,2024-06-23,1385
comuna 8,71,2024-07-31,41324
comuna 11,60,2024-06-23,26883
comuna 9,49,2024-01-30,12166
comuna 3,23,2024-01-30,368
comuna 8,60,2024-06-25,10428
comuna 12,52,2024-01-30,38283
comuna 1,18,2024-06-23,3615
comuna 4,40,2024-07-31,48094
comuna 6,27,2024-07-31,38141
comuna 4,57,2024-06-25,32699
comuna 13,96,2024-06-25,20807
comuna 5,99,2024-06-25,24770
comuna 9,30,2024-01-30,49394
comuna 9,32,2024-07-31,37960
comuna 8,81,2024-06-23,13742
comuna 3,62,2024-01-30,38187
comuna 14,65,2024-06-23,63
comuna 8,25,2024-01-30,6825
comuna 6,41,2024-06-25,352
comuna 13,62,2024-06-23,29025
comuna 15,31,2024-06-25,34567
comuna 2,29,2024-06-23,7358
comuna 15,47,2024-01-30,5300
comuna 3,88,2024-07-31,26330
comuna 9,11,2024-06-23,30328
comuna 8,77,2024-06-23,4444
comuna 12,97,2024-01-30,37824
comuna 1,78,2024-01-30,44573
comuna 7,28,2024-01-30,25768
comuna 14,80,2024-06-23,30918
comuna 8,53,2024-07-31,1326
comuna 12,36,2024-01-30,44676
comuna 12,19,2024-06-23,17814
comuna 9,81,2024-07-31,19193
comuna 11,21,2024-06-23,28308
comuna 12,22,2024-07-31,42390
comuna 6,66,2024-07-31,28431
comuna 10,18,2024-01-30,48883
comuna 9,46,2024-06-23,5950
comuna 1,96,2024-06-25,32150
comuna 16,73,2024-07-31,25767
comuna 16,35,2024-01-30,31766
comuna 11,80,2024-01-30,37794
comuna 4,62,2024-06-23,30244
comuna 8,15,2024-01-30,38959
comuna 10,93,2024-07-31,31606
comuna 10,87,2024-01-30,11355
comuna 13,35,2024-07-31,12901
comuna 11,13,2024-06-23,6012
comuna 8,25,2024-06-25,5989
comuna 3,26,2024-06-25,45701
comuna 1,49,2024-06-25,4892
comuna 12,63,2024-07-31,45589
comuna 5,89,2024-01-30,2967
comuna 4,87,2024-01-30,49468
comuna 6,54,2024-01-30,14035
comuna 3,60,2024-06-23,12992
comuna 13,46,2024-06-25,46817
comuna 2,39,2024-01-30,29945
comuna 6,83,2024-06-23,34566
comuna 2,75,2024-01-30,16888
comuna 14,43,2024-07-31,43652
comuna 3,28,2024-06-25,25411
comuna 9,22,2024-06-23,30912
comuna 1,32,2024-06-23,40584
comuna 1,93,2024-07-31,46723
comuna 7,12,2024-06-25,31145
comuna 12,95,2024-01-30,1257
comuna 5,61,2024-01-30,16420
comuna 15,43,2024-06-23,12492
comuna 2,37,2024-01-30,22396
comuna 13,25,2024-06-23,26759
comuna 9,15,2024-06-23,8149
comuna 13,44,2024-06-25,39708
comuna 1,20,2024-07-31,47160
comuna 7,91,2024-06-25,44359
comuna 8,24,2024-06-23,20102
comuna 5,26,2024-06-25,28552
comuna 3,84,2024-01-30,23433
comuna 16,43,2024-06-23,14550
comuna 1,79,2024-07-31,21673
comuna 2,71,2024-07-31,14326
comuna 6,14,2024-06-23,43504
comuna 10,90,2024-07-31,36310
comuna 7,14,2024-07-31,24861
comuna 14,81,2024-01-30,39559
comuna 4,17,2024-06-25,12020
comuna 5,38,2024-06-25,48630
comuna 4,56,2024-06-23,15799
comuna 10,16,2024-07-31,17773
comuna 6,99,2024-06-23,48872
comuna 4,21,2024-07-31,5196
comuna 7,45,2024-01-30,21519
comuna 8,11,2024-06-25,5714
comuna 14,97,2024-06-23,42532
comuna 5,48,2024-01-30,48531
comuna 11,35,2024-06-23,24685
comuna 12,45,2024-06-23,3550
comuna 1,16,2024-07-31,37389
comuna 3,63,2024-01-30,10207
comuna 8,82,2024-01-30,16397
comuna 2,72,2024-01-30,45873
comuna 16,43,2024-06-23,16538
comuna 15,22,2024-06-23,6609
comuna 1,33,2024-06-23,6130
comuna 2,99,2024-06-23,46188
comuna 14,86,2024-01-30,3995
comuna 5,64,2024-07-31,4248
comuna 16,51,2024-06-23,12688
comuna 14,31,2024-01-30,40443
comuna 14,37,2024-01-30,10807
comuna 8,98,2024-06-23,44528
comuna 9,35,2024-06-23,44275
comuna 9,39,2024-06-23,14419
comuna 6,82,2024-01-30,28685
comuna 7,26,2024-01-30,12342
comuna 11,39,2024-07-31,31075
comuna 9,84,2024-01-30,24750
comuna 3,58,2024-07-31,28389
comuna 10,77,2024-06-23,37852
comuna 12,56,2024-06-25,12270
comuna 8,97,2024-06-25,11399
comuna 8,42,2024-06-25,40178
comuna 16,49,2024-01-30,33809
comuna 9,65,2024-06-23,4335
comuna 12,29,2024-01-30,22139
comuna 16,97,2024-06-25,325
comuna 6,91,2024-01-30,49065
comuna 2,81,2024-07-31,13561
comuna 14,73,2024-06-25,37196
comuna 1,50,2024-06-23,22893
comuna 11,70,2024-06-23,28642
comuna 7,90,2024-06-23,38091
comuna 8,93,2024-07-31,4176
comuna 6,75,2024-07-31,2449
comuna 3,42,2024-01-30,7099
comuna 11,13,2024-06-23,25388
comuna 11,53,2024-06-25,4086
comuna 6,38,2024-01-30,24925
comuna 8,71,2024-06-23,1408
comuna 5,73,2024-07-31,27276
comuna 14,62,2024-01-30,20781
comuna 8,99,2024-06-23,23606
comuna 14,69,2024-06-25,11745
comuna 8,30,2024-01-30,26917
comuna 5,19,2024-07-31,2606
comuna 13,93,2024-07-31,23751
comuna 3,100,2024-06-25,4423
comuna 8,39,2024-06-25,8242
comuna 11,57,2024-07-31,17536
comuna 11,79,2024-07-31,10738
comuna 2,10,2024-06-25,9428
comuna 13,60,2024-06-25,30915
comuna 3,65,2024-07-31,38948
comuna 1,17,2024-06-23,36020
comuna 11,40,2024-01-30,45556
comuna 7,99,2024-01-30,2062
comuna 13,82,2024-07-31,20711
comuna 1,66,2024-06-25,17558
comuna 3,11,2024-07-31,37070
comuna 4,10,2024-07-31,15793
comuna 6,81,2024-06-25,10773
comuna 12,96,2024-06-25,12069
comuna 11,53,2024-07-31,16860
comuna 15,78,2024-06-23,18269
comuna 9,12,2024-06-23,21222
comuna 13,36,2024-07-31,10595
comuna 2,75,2024-01-30,26184
comuna 3,50,2024-07-31,47927
comuna 2,76,2024-06-23,18645
comuna 4,57,2024-07-31,30408
comuna 6,31,2024-06-23,11220
comuna 16,62,2024-07-31,37981
comuna 2,70,2024-06-25,14460
comuna 6,26,2024-06-23,12729
comuna 8,23,2024-07-31,43130
comuna 16,27,2024-07-31,40161
comuna 8,26,2024-06-25,4081
comuna 2,15,2024-07-31,28798
comuna 6,61,2024-07-31,43440
comuna 11,39,2024-06-23,40992
comuna 15,32,2024-07-31,22272
comuna 4,20,2024-06-25,8357
comuna 4,83,2024-01-30,8156
comuna 7,87,2024-01-30,28998
comuna 12,48,2024-06-23,47426
comuna 1,55,2024-07-31,15472
comuna 12,53,2024-06-25,15559
comuna 8,78,2024-06-23,57
comuna 10,79,2024-06-23,23267
comuna 1,66,2024-01-30,31918
comuna 15,52,2024-01-30,27721
comuna 5,77,2024-06-25,40377
comuna 2,67,2024-07-31,11580
comuna 6,11,2024-01-30,48993
comuna 2,73,2024-06-23,14908
comuna 11,91,2024-07-31,34218
comuna 5,24,2024-06-25,33331
comuna 5,27,2024-01-30,14899
comuna 12,66,2024-01-30,34494
comuna 15,50,2024-01-30,18541
comuna 7,41,2024-01-30,45820
comuna 12,60,2024-07-31,3012
comuna 15,14,2024-06-23,43000
comuna 2,98,2024-01-30,28649
comuna 1,54,2024-07-31,34282
comuna 15,88,2024-06-23,22913
comuna 12,59,2024-06-23,42661
comuna 8,42,2024-06-23,17651
comuna 12,43,2024-06-23,29457
comuna 8,16,2024-06-23,33578
comuna 1,29,2024-01-30,42278
comuna 14,58,2024-06-25,20849
comuna 4,64,2024-01-30,12034
comuna 8,87,2024-06-23,36486
comuna 6,64,2024-01-30,48890
comuna 16,95,2024-01-30,32477
comuna 5,61,2024-01-30,5448
comuna 13,39,2024-01-30,5099
comuna 10,56,2024-06-23,2890
comuna 14,41,2024-06-25,43370
comuna 11,61,2024-01-30,36860
comuna 8,84,2024-07-31,22935
comuna 11,87,2024-06-25,13482
comuna 6,13,2024-06-23,16777
comuna 4,86,2024-01-30,17193
comuna 13,69,2024-07-31,40936
comuna 13,24,2024-06-23,30243
comuna 8,92,2024-06-25,13912
comuna 14,67,2024-01-30,22004
comuna 6,57,2024-06-23,26878
comuna 10,73,2024-06-25,12698
comuna 8,49,2024-06-23,44999
comuna 2,84,2024-01-30,10591
comuna 15,22,2024-06-25,43768
comuna 4,90,2024-06-25,39749
comuna 16,82,2024-07-31,29226
comuna 2,88,2024-06-25,14665
comuna 8,35,2024-01-30,13654
comuna 10,25,2024-06-23,14199
comuna 16,39,2024-07-31,11690
comuna 3,23,2024-06-25,41914
comuna 12,27,2024-06-25,22977
comuna 13,44,2024-06-25,39710
comuna 8,28,2024-01-30,48430
comuna 1,70,2024-01-30,39658
comuna 4,21,2024-06-25,28877
comuna 15,79,2024-06-25,8451
comuna 9,52,2024-06-23,45321
comuna 1,32,2024-01-30,20858
comuna 9,56,2024-01-30,28836
comuna 10,33,2024-06-25,9319
comuna 13,10,2024-06-23,24428
comuna 14,27,2024-06-23,11238
comuna 7,73,2024-06-23,35154
comuna 9,47,2024-06-25,31265
comuna 9,38,2024-06-23,27115
comuna 8,12,2024-01-30,28413
comuna 10,85,2024-06-23,10469
comuna 4,21,2024-06-23,28401
comuna 10,11,2024-01-30,31717
comuna 4,89,2024-06-25,30330
comuna 1,17,2024-07-31,38844
comuna 4,57,2024-06-25,46544
comuna 12,41,2024-01-30,36754
comuna 5,98,2024-01-30,27870
comuna 15,64,2024-01-30,21037
comuna 3,14,2024-06-23,29451
comuna 11,81,2024-06-25,17198
comuna 9,59,2024-01-30,23182
comuna 15,95,2024-01-30,27359
comuna 13,82,2024-06-25,46911
comuna 11,84,2024-01-30,1021
comuna 6,17,2024-06-25,28965
comuna 10,78,2024-06-25,11634
comuna 14,16,2024-01-30,5039
comuna 15,85,2024-06-23,47040
comuna 3,47,2024-06-23,31416
comuna 1,99,2024-07-31,45872
comuna 13,53,2024-07-31,9616
comuna 10,18,2024-01-30,20983
comuna 14,69,2024-06-23,38841
comuna 10,87,2024-07-31,19143
comuna 16,18,2024-06-23,17987
comuna 5,41,2024-06-23,29279
comuna 12,69,2024-01-30,28066
comuna 4,86,2024-06-23,31742
comuna 15,37,2024-07-31,41600
comuna 16,61,2024-06-25,16622
comuna 9,19,2024-06-23,41921
comuna 15,100,2024-06-23,29590
comuna 7,47,2024-01-30,39449
comuna 5,34,2024-06-23,6337
comuna 14,21,2024-06-23,36704
comuna 15,61,2024-07-31,33987
comuna 7,28,2024-06-25,14157
comuna 8,86,2024-07-31,4972
comuna 15,57,2024-07-31,28980
comuna 15,10,2024-06-23,9132
comuna 4,90,2024-06-23,26883
comuna 14,19,2024-06-23,43382
comuna 10,43,2024-06-25,17266
comuna 1,15,2024-07-31,37900
comuna 16,18,2024-01-30,8871
comuna 3,35,2024-01-30,48174
comuna 2,69,2024-06-23,11530
comuna 16,58,2024-07-31,42524
comuna 12,40,2024-01-30,19274
comuna 8,99,2024-06-25,19700
comuna 6,72,2024-01-30,45774
comuna 11,72,2024-06-23,18889
comuna 7,87,2024-06-23,23427
comuna 14,90,2024-06-25,47452
comuna 13,21,2024-06-23,43929
comuna 15,92,2024-06-23,49315
comuna 11,69,2024-06-23,10755
comuna 2,91,2024-07-31,39446
comuna 15,58,2024-06-23,49045
comuna 16,60,2024-07-31,10075
comuna 1,50,2024-07-31,45393
comuna 4,64,2024-06-23,46457
comuna 14,99,2024-01-30,12370
comuna 16,12,2024-06-25,11687
comuna 10,66,2024-01-30,38691
comuna 15,24,2024-07-31,36020
comuna 4,67,2024-07-31,30707
comuna 7,65,2024-06-25,44298
comuna 3,58,2024-07-31,21018
comuna 1,92,2024-06-25,37392
comuna 9,73,2024-06-23,32603
comuna 1,69,2024-07-31,18346
comuna 5,78,2024-01-30,14028
comuna 8,51,2024-06-25,47104
comuna 11,48,2024-06-23,6862
comuna 4,98,2024-06-23,39155
comuna 11,69,2024-01-30,12346
comuna 13,90,2024-01-30,48787
comuna 4,73,2024-06-23,41505
comuna 2,31,2024-07-31,3551
comuna 12,40,2024-01-30,23514
comuna 16,67,2024-01-30,15939
comuna 9,78,2024-07-31,24519
comuna 9,20,2024-06-23,1340
comuna 10,48,2024-07-31,42161
comuna 8,45,2024-01-30,8362
comuna 10,41,2024-07-31,880
comuna 2,95,2024-01-30,26481
comuna 15,33,2024-06-25,22757
comuna 15,82,2024-06-23,48436
comuna 6,86,2024-06-23,15932
comuna 5,61,2024-01-30,11665
comuna 2,80,2024-06-25,42273
comuna 2,80,2024-06-25,34245
comuna 2,54,2024-06-25,15822
comuna 2,53,2024-01-30,48368
comuna 5,95,2024-06-23,2084
comuna 11,27,2024-06-25,47638
comuna 9,50,2024-06-23,29915
comuna 14,66,2024-01-30,12193
comuna 9,60,2024-06-25,4170
comuna 5,27,2024-01-30,15594
comuna 12,99,2024-01-30,11568
comuna 2,61,2024-01-30,33454
comuna 7,31,2024-01-30,9520
comuna 14,88,2024-01-30,15189
comuna 7,77,2024-01-30,22029
comuna 11,44,2024-07-31,12292
comuna 4,30,2024-06-25,17651
comuna 9,93,2024-01-30,23279
comuna 4,69,2024-06-23,41
comuna 11,57,2024-06-23,15002
comuna 2,95,2024-06-25,21155
comuna 15,21,2024-06-25,4686
comuna 3,22,2024-06-25,26387
comuna 9,72,2024-06-23,15431
comuna 16,13,2024-01-30,15685
comuna 6,38,2024-06-25,234
comuna 6,26,2024-06-23,19783
comuna 7,47,2024-01-30,34998
comuna 1,53,2024-06-25,24581
comuna 2,52,2024-06-23,19953
comuna 3,88,2024-07-31,16308
comuna 9,95,2024-06-23,15958
comuna 15,97,2024-06-25,32160
comuna 2,100,2024-07-31,5623
comuna 5,59,2024-06-23,17215
comuna 4,32,2024-06-25,5843
comuna 15,74,2024-07-31,5762
comuna 13,90,2024-01-30,2647
comuna 16,61,2024-06-25,39745
comuna 12,18,2024-06-25,33095
comuna 2,99,2024-06-25,42719
comuna 7,67,2024-01-30,43589
comuna 9,72,2024-01-30,12913
comuna 4,64,2024-06-25,1630
comuna 10,62,2024-06-25,19451
comuna 15,15,2024-07-31,36072
comuna 2,41,2024-07-31,47815
comuna 2,95,2024-01-30,29072
comuna 4,83,2024-06-23,30457
comuna 12,19,2024-06-25,44595
comuna 15,100,2024-06-25,40744
comuna 11,20,2024-06-23,48053
comuna 6,94,2024-01-30,28197
comuna 10,66,2024-06-23,37484
comuna 12,83,2024-06-23,35803
comuna 13,47,2024-07-31,47880
comuna 13,42,2024-07-31,42062
comuna 4,40,2024-06-23,4602
comuna 9,29,2024-07-31,21226
comuna 4,13,2024-01-30,27475
comuna 5,82,2024-01-30,20504
comuna 5,77,2024-06-25,44619
comuna 14,74,2024-06-23,14766
comuna 3,74,2024-01-30,26914
comuna 8,97,2024-01-30,5336
comuna 5,85,2024-01-30,16211
comuna 7,29,2024-07-31,36000
comuna 8,91,2024-07-31,16797
comuna 5,73,2024-01-30,12458
comuna 10,66,2024-07-31,9244
comuna 8,85,2024-01-30,16196
comuna 9,89,2024-06-23,40389
comuna 14,25,2024-01-30,6785
comuna 16,89,2024-06-23,22290
comuna 15,68,2024-07-31,35937
comuna 7,19,2024-06-25,36173
comuna 10,52,2024-06-25,7790
comuna 8,63,2024-01-30,22069
comuna 10,84,2024-07-31,39429
comuna 1,96,2024-07-31,49502
comuna 15,87,2024-06-23,20025
comuna 10,35,2024-06-23,7362
comuna 7,62,2024-06-25,11529
comuna 6,26,2024-06-25,10953
comuna 7,98,2024-01-30,48658
comuna 16,97,2024-06-25,41256
comuna 7,74,2024-06-25,36802
comuna 2,20,2024-06-23,1591
comuna 9,88,2024-07-31,31629
comuna 9,75,2024-06-23,24217
comuna 13,23,2024-07-31,25151
comuna 14,84,2024-07-31,18361
comuna 11,25,2024-01-30,3966
comuna 8,99,2024-01-30,9067
comuna 3,56,2024-01-30,20687
comuna 3,39,2024-01-30,5004
comuna 11,17,2024-07-31,9653
comuna 1,30,2024-06-25,41965
comuna 5,22,2024-07-31,45047
comuna 16,30,2024-06-23,4762
comuna 9,90,2024-07-31,11063
comuna 16,55,2024-01-30,30696
comuna 4,95,2024-06-25,41600
comuna 5,74,2024-01-30,22518
comuna 15,59,2024-01-30,29419
comuna 12,37,2024-06-25,5233
comuna 8,87,2024-06-25,21414
comuna 15,24,2024-01-30,11153
comuna 7,92,2024-07-31,15259
comuna 2,31,2024-07-31,33215
comuna 11,86,2024-07-31,47427
comuna 2,23,2024-07-31,19062
comuna 6,24,2024-01-30,7514
comuna 13,71,2024-01-30,44328
comuna 15,69,2024-06-25,32957
comuna 12,48,2024-06-25,4454
comuna 10,47,2024-06-23,33892
comuna 13,49,2024-06-25,14900
comuna 16,61,2024-06-23,24221
comuna 3,36,2024-01-30,42865
comuna 10,98,2024-07-31,34422
comuna 3,90,2024-01-30,28723
comuna 12,24,2024-01-30,36271
comuna 12,96,2024-01-30,12047
comuna 12,84,2024-06-23,8305
comuna 7,66,2024-01-30,39143
comuna 4,55,2024-07-31,6841
comuna 8,65,2024-07-31,25373
comuna 10,24,2024-06-25,47299
comuna 15,29,2024-06-25,19059
comuna 12,76,2024-06-23,18230
comuna 9,56,2024-06-25,36193
comuna 8,86,2024-07-31,29825
comuna 3,47,2024-01-30,16505
comuna 9,89,2024-07-31,8119
comuna 14,43,2024-07-31,14007
comuna 14,88,2024-06-25,31699
comuna 3,32,2024-06-23,42924
comuna 1,60,2024-01-30,31830
comuna 7,68,2024-06-25,49453
comuna 4,62,2024-07-31,13706
comuna 5,39,2024-06-23,9069
comuna 12,47,2024-01-30,41121
comuna 16,69,2024-06-25,39020
comuna 4,16,2024-06-23,13470
comuna 10,84,2024-07-31,18882
comuna 4,51,2024-06-25,47242
comuna 11,70,2024-01-30,14243
comuna 8,97,2024-06-25,608
comuna 11,44,2024-07-31,17071
comuna 5,69,2024-07-31,2527
comuna 3,93,2024-06-25,42817
comuna 6,58,2024-07-31,28281
comuna 12,74,2024-07-31,15827
comuna 16,75,2024-06-23,14581
comuna 10,69,2024-06-25,38059
comuna 14,96,2024-06-25,23018
comuna 4,96,2024-07-31,19683
comuna 8,33,2024-01-30,18672
comuna 10,35,2024-06-23,40619
comuna 14,70,2024-06-25,33154
comuna 12,57,2024-06-25,48331
comuna 15,65,2024-07-31,18199
comuna 11,73,2024-01-30,21619
comuna 15,18,2024-01-30,44660
comuna 7,72,2024-01-30,49237
comuna 7,77,2024-06-23,19818
comuna 16,86,2024-07-31,14186
comuna 2,23,2024-06-23,11149
comuna 6,22,2024-07-31,25348
comuna 4,77,2024-06-25,45167
comuna 16,29,2024-06-23,27518
comuna 14,28,2024-06-23,25087
comuna 7,12,2024-01-30,480
comuna 7,97,2024-01-30,30464
comuna 8,33,2024-07-31,49633
comuna 7,50,2024-06-25,11310
comuna 10,39,2024-07-31,21836
comuna 2,27,2024-06-23,43465
comuna 12,77,2024-06-25,18107
comuna 11,14,2024-01-30,22475
comuna 12,28,2024-06-25,4828
comuna 9,91,2024-06-23,10025
comuna 10,59,2024-07-31,3354
comuna 3,56,2024-07-31,32970
comuna 5,90,2024-06-25,4400
comuna 10,49,2024-06-25,1393
comuna 7,33,2024-07-31,46392
comuna 5,18,2024-06-23,40129
comuna 14,15,2024-06-25,44451
comuna 3,56,2024-07-31,16371
comuna 15,32,2024-01-30,30372
comuna 1,62,2024-06-23,2442
comuna 2,96,2024-07-31,41876
comuna 4,15,2024-06-23,5428
comuna 3,86,2024-07-31,39798
comuna 13,37,2024-06-25,16106
comuna 8,16,2024-07-31,10645
comuna 10,75,2024-06-25,26106
comuna 16,72,2024-01-30,30474
comuna 4,73,2024-07-31,36802
comuna 9,73,2024-06-25,3455
comuna 12,40,2024-06-25,4171
comuna 12,36,2024-06-25,7267
comuna 14,96,2024-06-23,43874
comuna 6,97,2024-06-25,46399
comuna 9,36,2024-06-25,27424
comuna 1,87,2024-06-25,47154
comuna 3,38,2024-07-31,49102
comuna 4,90,2024-07-31,15069
comuna 9,35,2024-06-23,34484
comuna 7,18,2024-01-30,39024
comuna 14,89,2024-06-23,30284
comuna 9,34,2024-06-23,45273
comuna 4,91,2024-06-25,47008
comuna 10,75,2024-01-30,43869
comuna 6,72,2024-07-31,24469
comuna 5,95,2024-01-30,29994
comuna 16,40,2024-07-31,42435
comuna 5,82,2024-01-30,18774
comuna 10,43,2024-06-23,24308
comuna 6,94,2024-07-31,43686
comuna 5,84,2024-06-25,41042
comuna 3,81,2024-01-30,14109
comuna 11,42,2024-01-30,9536
comuna 15,66,2024-06-25,8947
comuna 10,100,2024-06-23,11745
comuna 7,88,2024-01-30,41972
comuna 7,58,2024-01-30,44959
comuna 3,54,2024-06-23,21249
comuna 9,39,2024-01-30,44366
comuna 7,42,2024-07-31,36792
comuna 14,71,2024-06-23,45503
comuna 15,75,2024-06-25,21301
comuna 12,17,2024-06-23,6535
comuna 13,13,2024-06-23,7135
comuna 16,44,2024-01-30,499
comuna 15,59,2024-06-23,1076
comuna 14,73,2024-01-30,16543
comuna 15,10,2024-06-25,31053
comuna 13,83,2024-06-25,26959
comuna 13,13,2024-07-31,44749
comuna 11,28,2024-06-23,49559
comuna 10,38,2024-06-25,19398
comuna 11,16,2024-06-23,42362
comuna 8,97,2024-07-31,43580
comuna 12,31,2024-06-23,19036
comuna 1,41,2024-06-23,21158
comuna 1,73,2024-06-25,20849
