id,nivelRuido,comuna
31015,21,comuna 14
39251,60,comuna 10
29287,73,comuna 1
21246,45,comuna 10
39749,36,comuna 16
20646,74,comuna 13
34622,44,comuna 2
25406,74,comuna 3
15915,59,comuna 10
28404,55,comuna 6
14690,15,comuna 5
42823,52,comuna 8
8588,53,comuna 3
14044,24,comuna 9
2767,55,comuna 12
18049,19,comuna 6
6501,14,comuna 5
49228,38,comuna 15
6721,53,comuna 11
48690,41,comuna 10
38669,40,comuna 7
6430,46,comuna 4
37953,35,comuna 7
20366,17,comuna 10
43140,42,comuna 1
11551,26,comuna 4
28705,42,comuna 14
29754,45,comuna 4
43055,34,comuna 16
32352,48,comuna 3
36762,52,comuna 3
22699,17,comuna 7
34020,72,comuna 1
9745,55,comuna 12
43685,42,comuna 3
23158,41,comuna 4
16333,44,comuna 14
14039,31,comuna 4
46526,67,comuna 2
12582,57,comuna 5
1922,84,comuna 12
36685,89,comuna 4
17488,79,comuna 8
23908,59,comuna 5
39340,43,comuna 13
26010,34,comuna 11
24849,24,comuna 8
2827,75,comuna 11
2725,87,comuna 16
28183,57,comuna 2
43417,74,comuna 11
33746,74,comuna 4
42294,34,comuna 11
39511,85,comuna 14
45979,82,comuna 10
12664,83,comuna 15
1587,19,comuna 9
18379,64,comuna 10
312,49,comuna 11
31051,82,comuna 15
24184,57,comuna 1
19062,13,comuna 3
28562,24,comuna 1
664,76,comuna 2
17107,38,comuna 11
7295,54,comuna 9
15395,52,comuna 6
34910,58,comuna 13
27727,78,comuna 1
7401,90,comuna 9
30533,21,comuna 3
45879,33,comuna 6
8313,69,comuna 5
46005,19,comuna 7
16747,40,comuna 11
38373,37,comuna 14
4335,37,comuna 1
18313,14,comuna 16
49364,66,comuna 9
20682,33,comuna 6
44830,51,comuna 13
7523,49,comuna 7
47386,16,comuna 8
33571,42,comuna 2
4984,12,comuna 15
24172,14,comuna 6
22055,26,comuna 14
678,41,comuna 16
4043,77,comuna 1
11654,58,comuna 2
47721,74,comuna 9
1959,66,comuna 9
36288,45,comuna 16
17887,65,comuna 6
35284,16,comuna 14
32868,27,comuna 5
12337,38,comuna 7
40751,16,comuna 1
23516,37,comuna 1
15710,87,comuna 5
20599,59,comuna 15
22210,55,comuna 16
14795,49,comuna 6
43160,83,comuna 10
16323,39,comuna 6
21099,66,comuna 16
40342,38,comuna 12
3766,11,comuna 3
10852,65,comuna 7
19471,29,comuna 11
22073,55,comuna 16
28132,87,comuna 1
39348,52,comuna 5
49554,64,comuna 3
39027,90,comuna 6
1634,71,comuna 5
17904,25,comuna 14
6146,87,comuna 5
24747,68,comuna 6
3324,72,comuna 6
28676,60,comuna 11
18318,88,comuna 13
19789,10,comuna 10
12692,27,comuna 3
20717,33,comuna 9
2742,57,comuna 6
44958,46,comuna 1
26164,87,comuna 9
3972,23,comuna 16
5277,42,comuna 11
35645,57,comuna 3
44112,22,comuna 8
36272,54,comuna 4
35092,57,comuna 9
49434,24,comuna 5
46061,51,comuna 5
29444,23,comuna 4
13181,43,comuna 15
26506,85,comuna 3
21603,70,comuna 14
21717,65,comuna 16
20455,74,comuna 14
43875,42,comuna 3
20960,77,comuna 8
28554,87,comuna 11
26480,42,comuna 4
25236,61,comuna 4
13273,14,comuna 13
20395,57,comuna 5
41049,50,comuna 16
10112,36,comuna 14
30638,77,comuna 2
26250,80,comuna 14
38759,12,comuna 12
4379,30,comuna 9
27460,34,comuna 6
18828,56,comuna 4
10146,17,comuna 14
3451,65,comuna 2
30488,17,comuna 9
23687,76,comuna 6
41021,84,comuna 14
10253,35,comuna 16
30939,90,comuna 6
32480,55,comuna 16
4510,45,comuna 6
48276,63,comuna 10
12543,24,comuna 6
2147,74,comuna 3
44310,17,comuna 2
6368,68,comuna 5
3712,77,comuna 15
40105,53,comuna 1
32315,49,comuna 10
14522,61,comuna 14
37392,58,comuna 13
48528,13,comuna 11
46696,76,comuna 6
30367,59,comuna 12
24920,61,comuna 6
2120,65,comuna 5
30120,11,comuna 4
11973,22,comuna 3
17321,32,comuna 8
20815,78,comuna 14
27581,11,comuna 6
7866,41,comuna 14
49367,17,comuna 5
26494,78,comuna 13
14781,41,comuna 6
46733,39,comuna 10
1012,25,comuna 1
1589,41,comuna 10
12201,18,comuna 4
37931,14,comuna 3
33027,74,comuna 15
16773,33,comuna 13
25188,41,comuna 11
10148,82,comuna 1
37106,88,comuna 2
41327,44,comuna 11
17085,28,comuna 1
43308,62,comuna 7
30392,87,comuna 14
39857,19,comuna 10
26487,38,comuna 13
10896,32,comuna 2
19884,85,comuna 15
49267,41,comuna 5
5533,38,comuna 4
35126,67,comuna 6
29396,56,comuna 11
9068,11,comuna 12
6453,25,comuna 1
42388,56,comuna 13
31750,25,comuna 1
45094,37,comuna 12
15953,46,comuna 1
49989,75,comuna 14
45672,39,comuna 15
10908,59,comuna 14
21056,50,comuna 8
5208,22,comuna 3
32347,45,comuna 5
10099,70,comuna 12
5146,81,comuna 7
1450,69,comuna 14
12348,49,comuna 16
30232,37,comuna 8
38817,82,comuna 14
41377,10,comuna 13
9209,57,comuna 10
13612,35,comuna 10
14978,54,comuna 15
6228,11,comuna 8
18638,68,comuna 15
40719,67,comuna 7
34323,50,comuna 4
21754,73,comuna 13
41204,36,comuna 15
30383,76,comuna 7
15205,77,comuna 12
28664,23,comuna 10
44925,52,comuna 8
32247,34,comuna 5
12056,37,comuna 11
29764,29,comuna 16
49759,17,comuna 2
49766,57,comuna 4
28430,62,comuna 14
26481,80,comuna 14
47848,25,comuna 14
31405,89,comuna 8
9019,83,comuna 7
10040,51,comuna 4
33700,49,comuna 1
26762,45,comuna 11
36975,54,comuna 13
25176,52,comuna 15
25514,64,comuna 8
47026,51,comuna 13
28891,16,comuna 10
10004,25,comuna 6
28506,70,comuna 4
9698,72,comuna 6
5002,59,comuna 1
32134,41,comuna 5
27337,68,comuna 11
12715,77,comuna 6
14702,63,comuna 5
7003,50,comuna 4
26816,35,comuna 15
4926,49,comuna 14
23173,13,comuna 12
26981,65,comuna 8
8872,44,comuna 3
42980,42,comuna 3
14362,61,comuna 15
26460,34,comuna 2
37525,73,comuna 14
36558,50,comuna 5
35044,49,comuna 7
34111,72,comuna 4
30141,54,comuna 8
49770,77,comuna 8
4383,31,comuna 14
43793,88,comuna 7
19687,87,comuna 11
39724,63,comuna 5
13764,33,comuna 6
8361,74,comuna 3
32846,50,comuna 14
9138,65,comuna 15
26694,50,comuna 13
17224,10,comuna 11
18800,43,comuna 7
13544,82,comuna 8
13501,58,comuna 16
5424,60,comuna 6
263,32,comuna 4
8371,12,comuna 6
13821,85,comuna 5
45899,45,comuna 12
25535,31,comuna 5
26511,18,comuna 14
26253,13,comuna 5
11697,21,comuna 8
36441,41,comuna 1
16710,83,comuna 9
27149,23,comuna 5
29567,71,comuna 15
19232,25,comuna 12
34186,33,comuna 7
19940,17,comuna 14
10282,66,comuna 1
36104,84,comuna 5
43319,16,comuna 15
41848,49,comuna 8
27988,78,comuna 14
35214,13,comuna 13
47964,73,comuna 10
31161,61,comuna 2
8340,47,comuna 5
48798,88,comuna 16
19974,19,comuna 8
23915,78,comuna 2
38374,41,comuna 7
30057,61,comuna 11
22437,81,comuna 14
33373,74,comuna 10
48159,22,comuna 13
25838,55,comuna 12
40347,33,comuna 4
28261,27,comuna 2
34559,74,comuna 3
9784,82,comuna 13
4704,67,comuna 4
16251,28,comuna 8
44213,21,comuna 11
12236,87,comuna 16
47839,10,comuna 13
28009,12,comuna 6
3647,33,comuna 12
32929,74,comuna 8
907,54,comuna 6
18185,51,comuna 8
6469,68,comuna 14
26290,70,comuna 10
49542,52,comuna 9
15401,34,comuna 2
17877,24,comuna 14
29448,56,comuna 14
30246,43,comuna 15
43276,24,comuna 3
28349,32,comuna 9
32017,66,comuna 12
22332,24,comuna 2
12334,47,comuna 5
42115,77,comuna 1
36572,47,comuna 11
32294,67,comuna 16
19342,41,comuna 10
13143,55,comuna 9
47919,75,comuna 1
2979,79,comuna 1
25814,82,comuna 11
5914,10,comuna 10
45752,80,comuna 5
45230,76,comuna 12
45800,87,comuna 12
8823,82,comuna 11
19590,19,comuna 1
27835,53,comuna 11
14172,32,comuna 16
17186,33,comuna 1
34379,58,comuna 15
32274,48,comuna 2
26187,75,comuna 15
47378,87,comuna 9
37136,39,comuna 11
15318,25,comuna 11
36857,69,comuna 3
1515,46,comuna 11
46013,23,comuna 11
10411,41,comuna 3
27970,85,comuna 11
3384,19,comuna 13
1808,85,comuna 9
1537,78,comuna 3
25092,31,comuna 2
13536,22,comuna 10
28689,90,comuna 4
1935,51,comuna 10
16416,12,comuna 12
28640,53,comuna 7
26154,89,comuna 13
38053,42,comuna 12
25430,26,comuna 3
42658,24,comuna 14
28854,51,comuna 4
33857,53,comuna 15
21589,76,comuna 6
48372,74,comuna 9
42716,11,comuna 15
49438,31,comuna 9
30673,15,comuna 9
7338,42,comuna 9
21749,65,comuna 10
29472,63,comuna 1
26229,56,comuna 2
43694,43,comuna 7
39056,39,comuna 9
48013,90,comuna 10
18731,14,comuna 1
44401,55,comuna 10
7511,16,comuna 2
12725,75,comuna 6
10738,46,comuna 15
6589,45,comuna 16
29930,82,comuna 16
14,24,comuna 10
30506,65,comuna 10
27051,26,comuna 8
16600,42,comuna 3
21174,45,comuna 4
6328,49,comuna 6
37879,40,comuna 10
7132,31,comuna 1
6504,37,comuna 4
5705,49,comuna 1
46670,61,comuna 11
47223,42,comuna 8
48060,20,comuna 3
30260,16,comuna 2
19022,83,comuna 11
46768,37,comuna 6
42698,53,comuna 10
47519,26,comuna 5
2318,23,comuna 12
45365,79,comuna 16
32708,89,comuna 6
30029,50,comuna 2
17774,87,comuna 6
6986,48,comuna 12
15636,66,comuna 14
17381,30,comuna 9
18270,52,comuna 16
2757,25,comuna 15
2323,23,comuna 11
5793,70,comuna 13
9572,17,comuna 16
187,51,comuna 11
42238,70,comuna 16
36050,40,comuna 10
1645,54,comuna 12
27933,68,comuna 2
35761,79,comuna 1
30689,14,comuna 7
37280,42,comuna 3
42681,75,comuna 10
35464,37,comuna 2
32581,58,comuna 9
42356,54,comuna 3
48682,72,comuna 4
13782,69,comuna 7
21397,10,comuna 6
23839,53,comuna 8
12028,32,comuna 10
12886,26,comuna 6
26508,72,comuna 14
43194,66,comuna 6
38027,16,comuna 8
9439,58,comuna 4
8564,53,comuna 15
2527,72,comuna 10
23286,51,comuna 2
15017,67,comuna 13
8669,19,comuna 16
37942,19,comuna 8
41569,54,comuna 14
15241,46,comuna 16
7300,10,comuna 4
45413,63,comuna 13
807,57,comuna 11
6873,47,comuna 10
30254,26,comuna 7
20776,53,comuna 9
5408,19,comuna 7
36143,24,comuna 7
48474,51,comuna 12
8631,39,comuna 11
28564,27,comuna 2
45287,45,comuna 9
36335,57,comuna 3
33588,81,comuna 12
9971,90,comuna 11
41818,56,comuna 10
48892,36,comuna 2
36480,16,comuna 9
27306,79,comuna 4
4226,19,comuna 9
11977,57,comuna 14
21996,29,comuna 2
37450,12,comuna 5
6642,87,comuna 14
18943,50,comuna 7
5293,10,comuna 14
13904,88,comuna 15
2244,16,comuna 5
20382,75,comuna 5
22482,45,comuna 1
14187,44,comuna 16
40273,82,comuna 6
22193,77,comuna 15
45401,35,comuna 15
28470,62,comuna 5
3325,33,comuna 9
15984,71,comuna 1
4430,37,comuna 6
20804,81,comuna 13
6588,58,comuna 8
18185,54,comuna 5
25121,60,comuna 2
42134,42,comuna 5
26803,68,comuna 1
481,21,comuna 4
7221,42,comuna 14
43005,80,comuna 14
41364,68,comuna 3
1782,79,comuna 3
17621,50,comuna 7
35744,58,comuna 6
14827,25,comuna 16
21257,55,comuna 1
19927,74,comuna 7
25447,81,comuna 12
11521,40,comuna 3
27208,69,comuna 13
35122,88,comuna 8
31231,40,comuna 8
47768,73,comuna 7
41224,22,comuna 3
1011,66,comuna 15
3495,46,comuna 10
11882,22,comuna 3
49322,35,comuna 4
16383,80,comuna 11
25974,90,comuna 7
24936,79,comuna 1
33120,17,comuna 15
627,18,comuna 15
46174,90,comuna 15
46783,53,comuna 1
42723,20,comuna 4
43732,59,comuna 9
27860,72,comuna 1
35413,16,comuna 13
23799,57,comuna 14
3003,27,comuna 5
37922,27,comuna 10
26056,63,comuna 11
1955,78,comuna 9
3748,38,comuna 5
22780,42,comuna 4
20218,83,comuna 12
25138,65,comuna 4
46686,65,comuna 6
13930,43,comuna 8
15956,43,comuna 5
43024,16,comuna 7
9517,73,comuna 8
22563,72,comuna 12
45709,51,comuna 13
44646,36,comuna 13
20348,33,comuna 1
10736,44,comuna 16
11910,74,comuna 8
40247,76,comuna 12
6675,82,comuna 12
18678,14,comuna 7
5944,49,comuna 10
9817,79,comuna 4
43273,40,comuna 9
18719,56,comuna 12
43986,32,comuna 10
35163,15,comuna 10
39958,90,comuna 10
22611,39,comuna 9
21917,21,comuna 13
39212,12,comuna 7
30014,34,comuna 15
26183,18,comuna 14
12698,71,comuna 11
24166,74,comuna 11
32959,10,comuna 5
38751,72,comuna 14
38741,72,comuna 1
45115,24,comuna 13
23760,51,comuna 16
24347,35,comuna 14
43055,17,comuna 7
18762,69,comuna 14
61,15,comuna 6
2632,13,comuna 6
42082,13,comuna 7
12610,50,comuna 5
5101,65,comuna 4
11581,56,comuna 2
5057,45,comuna 9
15996,28,comuna 13
15092,62,comuna 12
752,63,comuna 3
32222,61,comuna 8
43989,33,comuna 13
15407,71,comuna 6
40379,22,comuna 1
11107,79,comuna 8
10235,33,comuna 4
1348,27,comuna 1
25403,17,comuna 1
10231,34,comuna 16
36100,16,comuna 9
45939,64,comuna 9
11697,47,comuna 13
6569,50,comuna 10
3356,50,comuna 16
27445,58,comuna 5
44031,62,comuna 2
27743,90,comuna 6
5496,87,comuna 13
29322,20,comuna 5
35452,49,comuna 14
31441,33,comuna 5
19965,74,comuna 3
49163,48,comuna 13
27806,79,comuna 16
45749,15,comuna 12
44296,42,comuna 1
27288,50,comuna 4
23784,50,comuna 13
27370,55,comuna 15
45992,75,comuna 15
43193,88,comuna 3
9009,82,comuna 4
21077,31,comuna 7
6651,19,comuna 1
37905,29,comuna 5
29642,14,comuna 13
34378,76,comuna 9
20396,38,comuna 8
1695,47,comuna 9
31457,61,comuna 10
6908,44,comuna 8
14592,69,comuna 2
39303,28,comuna 1
28787,27,comuna 7
29885,41,comuna 15
46315,22,comuna 7
37153,24,comuna 1
26347,88,comuna 15
15840,85,comuna 2
39122,65,comuna 3
36660,47,comuna 3
44064,27,comuna 6
35617,27,comuna 1
13070,46,comuna 16
33994,79,comuna 5
32008,44,comuna 12
42493,50,comuna 14
37205,20,comuna 7
26430,26,comuna 3
5887,67,comuna 3
34146,23,comuna 9
4611,67,comuna 4
27534,18,comuna 4
25927,28,comuna 14
20549,38,comuna 5
11886,32,comuna 2
38520,18,comuna 13
36027,20,comuna 12
33186,84,comuna 15
787,13,comuna 4
15002,79,comuna 12
6387,35,comuna 11
26357,30,comuna 15
27731,64,comuna 10
30077,76,comuna 10
8215,79,comuna 4
4953,62,comuna 6
43381,44,comuna 5
31978,14,comuna 3
4944,31,comuna 12
20340,57,comuna 4
33120,54,comuna 5
24912,16,comuna 16
27209,60,comuna 9
14069,41,comuna 10
14701,49,comuna 8
30458,66,comuna 5
36956,87,comuna 7
6877,68,comuna 2
15071,20,comuna 11
6925,81,comuna 14
2674,86,comuna 16
4598,56,comuna 4
15857,17,comuna 11
7220,34,comuna 12
20573,58,comuna 3
15695,60,comuna 10
25894,17,comuna 12
46196,62,comuna 5
8522,36,comuna 11
31636,71,comuna 12
22023,58,comuna 2
14265,26,comuna 8
39974,18,comuna 16
26596,24,comuna 10
40035,82,comuna 3
37996,49,comuna 9
39214,49,comuna 11
3315,50,comuna 3
25720,85,comuna 11
18965,11,comuna 15
45328,16,comuna 3
3811,29,comuna 9
45700,13,comuna 15
44449,85,comuna 1
36602,15,comuna 4
16880,63,comuna 15
17532,28,comuna 7
29491,20,comuna 2
15499,69,comuna 12
22808,44,comuna 1
30751,14,comuna 3
34591,17,comuna 6
6332,64,comuna 2
15126,36,comuna 1
9213,77,comuna 13
39255,71,comuna 10
40044,87,comuna 13
19532,38,comuna 11
48014,70,comuna 5
28267,44,comuna 13
29384,80,comuna 6
40766,65,comuna 1
34753,10,comuna 5
34654,19,comuna 12
32530,19,comuna 12
40988,56,comuna 9
33061,89,comuna 4
37372,19,comuna 14
18121,14,comuna 5
33565,53,comuna 3
2686,68,comuna 7
3977,59,comuna 4
41791,75,comuna 2
38607,31,comuna 9
22062,76,comuna 5
7686,64,comuna 16
11040,83,comuna 11
38697,83,comuna 15
34390,20,comuna 6
38576,65,comuna 2
24011,20,comuna 11
43143,69,comuna 5
16393,78,comuna 8
44144,29,comuna 4
35259,15,comuna 1
19058,74,comuna 1
22611,10,comuna 4
20088,47,comuna 3
42003,14,comuna 8
158,64,comuna 14
12106,67,comuna 14
23225,39,comuna 15
45225,64,comuna 13
47638,61,comuna 15
31376,86,comuna 14
6928,25,comuna 1
24354,25,comuna 4
19819,37,comuna 7
6780,34,comuna 4
24181,61,comuna 12
34542,74,comuna 15
40560,59,comuna 12
13826,69,comuna 9
4262,47,comuna 14
46047,86,comuna 5
41671,72,comuna 9
45820,90,comuna 13
39386,30,comuna 10
3510,62,comuna 6
41270,80,comuna 11
34253,32,comuna 14
14575,16,comuna 3
3836,13,comuna 6
4557,44,comuna 8
44833,83,comuna 5
23446,22,comuna 5
22502,35,comuna 3
40947,26,comuna 4
48104,56,comuna 2
32000,81,comuna 13
24553,51,comuna 16
42142,31,comuna 5
38713,31,comuna 3
11324,46,comuna 16
48421,36,comuna 6
7114,39,comuna 14
14876,56,comuna 16
18490,11,comuna 12
48706,59,comuna 6
34514,23,comuna 2
29774,32,comuna 11
5008,25,comuna 9
24257,27,comuna 13
19852,83,comuna 11
41355,32,comuna 5
817,74,comuna 16
44585,23,comuna 3
16923,21,comuna 14
17530,71,comuna 5
34281,90,comuna 9
44654,77,comuna 3
38464,54,comuna 1
31319,40,comuna 12
39635,87,comuna 14
7995,75,comuna 9
16749,31,comuna 11
14454,46,comuna 4
46099,88,comuna 6
47155,33,comuna 8
44425,17,comuna 3
46163,26,comuna 14
2421,36,comuna 3
45693,48,comuna 13
23284,75,comuna 16
49389,77,comuna 2
48025,29,comuna 2
30075,87,comuna 6
11857,78,comuna 7
1486,57,comuna 3
21778,46,comuna 6
42802,54,comuna 15
42889,52,comuna 14
4276,28,comuna 5
1538,74,comuna 9
3530,12,comuna 5
1003,32,comuna 4
8693,32,comuna 5
43013,71,comuna 4
39787,66,comuna 10
31552,55,comuna 5
2509,73,comuna 5
15532,71,comuna 9
41476,74,comuna 1
33061,33,comuna 3
13788,52,comuna 8
25569,32,comuna 4
12096,17,comuna 12
25681,52,comuna 16
5841,27,comuna 15
14039,50,comuna 13
15128,74,comuna 6
43934,59,comuna 5
6034,64,comuna 2
21214,79,comuna 2
1066,86,comuna 13
23052,66,comuna 11
9046,34,comuna 1
1924,30,comuna 14
12949,29,comuna 6
18640,45,comuna 1
32191,24,comuna 15
13217,65,comuna 3
7973,58,comuna 1
11270,23,comuna 5
8248,52,comuna 3
34160,42,comuna 6
5909,21,comuna 7
7884,83,comuna 1
19748,36,comuna 10
40253,51,comuna 3
4860,29,comuna 16
27219,69,comuna 3
36661,23,comuna 6
48802,75,comuna 2
5966,88,comuna 13
35339,24,comuna 14
12700,30,comuna 4
49676,29,comuna 1
1621,39,comuna 5
4609,64,comuna 9
23705,76,comuna 10
36495,79,comuna 9
36369,50,comuna 5
21127,59,comuna 1
21047,30,comuna 2
27448,39,comuna 15
6663,87,comuna 5
16836,83,comuna 6
26665,40,comuna 4
28922,16,comuna 9
38240,19,comuna 5
24565,15,comuna 10
1040,61,comuna 9
46667,75,comuna 3
27575,13,comuna 16
21239,58,comuna 4
16192,90,comuna 12
18181,49,comuna 16
21800,33,comuna 6
31939,47,comuna 5
15004,53,comuna 16
17505,53,comuna 12
26486,80,comuna 14
11352,73,comuna 6
41200,14,comuna 8
21084,32,comuna 2
35655,74,comuna 12
48063,78,comuna 10
12754,81,comuna 16
9682,21,comuna 11
35521,19,comuna 12
25016,41,comuna 7
40003,25,comuna 7
28487,29,comuna 8
1349,47,comuna 15
44708,65,comuna 4
31738,81,comuna 8
33529,46,comuna 16
24198,48,comuna 12
3982,59,comuna 2
48650,52,comuna 4
3513,53,comuna 8
23903,34,comuna 6
21132,20,comuna 11
44633,46,comuna 4
49185,39,comuna 9
39213,49,comuna 9
9571,63,comuna 9
10450,56,comuna 13
1961,62,comuna 7
24779,17,comuna 9
45153,19,comuna 10
10583,18,comuna 15
7580,13,comuna 8
34918,19,comuna 10
16955,44,comuna 11
39794,53,comuna 9
44896,59,comuna 10
40545,27,comuna 4
43957,68,comuna 8
13716,53,comuna 12
29585,18,comuna 7
2435,49,comuna 1
16916,73,comuna 3
677,52,comuna 8
21694,85,comuna 4
16066,87,comuna 15
24034,34,comuna 13
48642,19,comuna 13
31643,35,comuna 16
9831,75,comuna 6
39477,82,comuna 4
41405,68,comuna 7
16419,80,comuna 3
2794,13,comuna 16
11994,60,comuna 8
40262,46,comuna 5
23625,35,comuna 14
46236,49,comuna 3
5029,79,comuna 13
6413,69,comuna 3
5428,51,comuna 11
20866,74,comuna 16
20656,16,comuna 9
38595,62,comuna 3
45774,69,comuna 10
8164,11,comuna 8
28396,87,comuna 11
19945,30,comuna 15
23643,69,comuna 6
43870,30,comuna 12
40585,42,comuna 5
41187,73,comuna 11
43112,76,comuna 8
239,31,comuna 10
10878,55,comuna 9
41551,27,comuna 12
40603,78,comuna 11
24330,19,comuna 9
27641,59,comuna 3
28304,59,comuna 5
6588,55,comuna 15
26457,28,comuna 12
7350,44,comuna 15
4425,70,comuna 14
33384,17,comuna 15
38569,88,comuna 1
33640,41,comuna 11
